customer_id,name,email,phone,gender,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
4456-AAAA0000,Alice Hall,alice.hall@example.com,+1-555-967-7887,Male,Yes,Yes,21,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,61.4,1269.6,1
4096-AAAA0001,Fiona Davis,fiona.davis@example.com,+1-555-115-8450,Female,No,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,33.26,2118.57,0
8565-DDDD0002,Julia Wilson,julia.wilson@example.com,+1-555-400-3828,Male,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,105.4,3838.49,1
1148-AAAA0003,Fiona Smith,fiona.smith@example.com,+1-555-790-6377,Male,No,Yes,27,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Bank transfer,70.93,1915.57,1
6730-CCCC0004,Alice Miller,alice.miller@example.com,+1-555-687-3400,Male,No,Yes,55,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,82.26,4522.0,1
8163-BBBB0005,Julia Wilson,julia.wilson@example.com,+1-555-186-8994,Female,Yes,No,29,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,95.36,2766.96,1
7262-BBBB0006,Ethan Hall,ethan.hall@example.com,+1-555-625-8965,Male,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card,97.07,1936.6,1
1614-AAAA0007,Diana Thomas,diana.thomas@example.com,+1-555-858-1877,Male,Yes,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.12,456.53,0
9431-AAAA0008,Julia Thomas,julia.thomas@example.com,+1-555-852-8009,Male,Yes,Yes,70,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.92,5875.99,0
4013-BBBB0009,Ian Brown,ian.brown@example.com,+1-555-108-4534,Female,Yes,No,63,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer,83.1,5206.1,0
1158-AAAA0010,Charlie White,charlie.white@example.com,+1-555-635-8791,Male,Yes,Yes,36,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,67.91,2450.36,0
1547-AAAA0011,John Doe,john.doe@example.com,+1-555-396-6336,Male,Yes,Yes,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,113.74,227.06,1
3900-CCCC0012,Charlie Taylor,charlie.taylor@example.com,+1-555-327-4103,Male,No,No,22,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,85.58,1848.24,1
3265-CCCC0013,Julia Wilson,julia.wilson@example.com,+1-555-530-3836,Male,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,117.87,1903.82,1
1734-DDDD0014,Fiona Clark,fiona.clark@example.com,+1-555-269-3117,Female,No,No,18,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,79.88,1431.87,0
